formula,d,eps,Delta,speedup,incr wall time,time per portion
Psi 3,64,2,4,5.6663579999999998,0.0032759999999999998,0.00020500000000000000
Psi 3,64,2,8,3.1935250000000002,0.0030920000000000001,0.000387000
Psi 3,64,2,16,1.940805000,0.0028609999999999998,0.00071500000000000003
Psi 3,64,2,32,1.2428079999999999,0.00271700,0.00135800
Psi 3,64,4,8,2.88429900,0.0046610000000000002,0.00058299999999999997
Psi 3,64,4,16,1.866829000,0.0040530000000000002,0.001013000
Psi 3,64,4,32,1.24290300,0.0037230000000000002,0.0018619999999999999
Psi 3,64,8,16,1.4241919999999999,0.0082170000000000003,0.0020539999999999998
Psi 3,64,8,32,1.047738000,0.0069979999999999999,0.0034989999999999999
Psi 3,128,2,4,10.906568000000000,0.0069950000000000003,0.00021900000000000001
Psi 3,128,2,8,6.3262020000000003,0.0062129999999999998,0.00038800000000000000
Psi 3,128,2,16,3.4746380000000001,0.0060250000000000000,0.00075299999999999998
Psi 3,128,2,32,1.975674000,0.0059080000000000001,0.001477000
Psi 3,128,4,8,5.2837170000000002,0.010338000000000000,0.00064599999999999998
Psi 3,128,4,16,3.0035449999999999,0.0097230000000000007,0.0012149999999999999
Psi 3,128,4,32,1.821726000,0.0090069999999999994,0.0022520000000000001
Psi 3,128,8,16,2.3402630000000002,0.020414999999999999,0.0025520000000000000
Psi 3,128,8,32,1.6392160000000000,0.016243000000000000,0.0040610000000000004
Psi 3,256,2,4,20.937543000000002,0.014914999999999999,0.00023300000000000000
Psi 3,256,2,8,11.57828500,0.01375300,0.00042999999999999999
Psi 3,256,2,16,6.2684259999999998,0.013070000000000000,0.00081700000000000002
Psi 3,256,2,32,3.3567779999999998,0.01301700,0.001627000
Psi 3,256,4,8,9.3822779999999995,0.023654999999999999,0.00073899999999999997
Psi 3,256,4,16,5.4983389999999996,0.020820999999999999,0.001301000
Psi 3,256,4,32,3.1860940000000002,0.019095000000000001,0.0023869999999999998
Psi 3,256,8,16,4.3994160000000004,0.042916999999999997,0.0026819999999999999
Psi 3,256,8,32,2.9859079999999998,0.03359300,0.0041989999999999996
Psi 3,512,2,4,45.953552000000002,0.02824400,0.000221000
Psi 3,512,2,8,23.265958999999999,0.027980000000000001,0.00043700000000000000
Psi 3,512,2,16,12.552160000000001,0.026394999999999998,0.00082500000000000000
Psi 3,512,2,32,7.2858489999999998,0.02349700,0.001469000
Psi 3,512,4,8,21.000088999999999,0.043027000000000003,0.00067199999999999996
Psi 3,512,4,16,11.977599000000000,0.038317999999999998,0.0011969999999999999
Psi 3,512,4,32,6.6396780000000000,0.035497000000000001,0.0022190000000000001
Psi 3,512,8,16,8.2952460000000006,0.092267000000000002,0.0028830000000000001
Psi 3,512,8,32,5.5415809999999999,0.071468000000000004,0.004467000
Psi 4,16,2,4,1.3432480000000000,0.00073200000000000001,0.00018300000000000000
Psi 4,16,2,8,1.1446320000000001,0.00052300000000000003,0.00026200000000000003
Psi 4,16,2,16,1.0117309999999999,0.00038999999999999999,0.00038999999999999999
Psi 4,16,4,8,1.066133000,0.00075199999999999996,0.00037599999999999998
Psi 4,16,4,16,1.0165700000000000,0.00055099999999999995,0.00055099999999999995
Psi 4,16,8,16,1.0223240000000000,0.00081899999999999996,0.00081899999999999996
Psi 4,32,2,4,2.15062500,0.0016190000000000000,0.000202000
Psi 4,32,2,8,1.6889090000000000,0.0011479999999999999,0.00028699999999999998
Psi 4,32,2,16,1.301958000,0.00088699999999999998,0.00044299999999999998
Psi 4,32,2,32,1.0121819999999999,0.00074900,0.00074900
Psi 4,32,4,8,1.372053000,0.00202000,0.00050500000000000002
Psi 4,32,4,16,1.149189000,0.00146300,0.00073200000000000001
Psi 4,32,4,32,1.01769000,0.00110400,0.00110400
Psi 4,32,8,16,1.060707000,0.0027060000000000001,0.0013530000000000000
Psi 4,32,8,32,1.0308349999999999,0.0019719999999999998,0.0019719999999999998
Psi 4,64,2,4,3.7751489999999999,0.0034050000000000000,0.00021300000000000000
Psi 4,64,2,8,2.8424610000000001,0.0023939999999999999,0.00029900000000000000
Psi 4,64,2,16,2.0230000000000001,0.00186800,0.00046700000000000002
Psi 4,64,2,32,1.4066330000000000,0.0016000000000000001,0.00080000000000000004
Psi 4,64,4,8,2.2254440000000000,0.0045180000000000003,0.00056499999999999996
Psi 4,64,4,16,1.7151330000000000,0.00326800,0.00081700000000000002
Psi 4,64,4,32,1.315048000,0.0025650000000000000,0.0012819999999999999
Psi 4,64,8,16,1.37489300,0.0074869999999999997,0.001872000
